betId,user_id,event_id,amount,odds,outcome
0,gm3605,A88,814,2.61,0
1,gm2203,A3,499,2.22,1
2,gm3458,A155,842,2.53,0
3,gm4821,A127,162,2.39,0
4,gm869,A111,416,2.96,0
5,gm6767,A144,306,2.58,0
6,gm3756,A97,607,2.62,1
7,gm7165,A51,990,2.26,0
8,gm8111,A10,587,2.08,0
9,gm1887,A145,870,2.47,0
10,gm2592,A52,660,2.23,0
11,gm2898,A192,599,2.07,0
12,gm4158,A178,955,2.44,0
13,gm1500,A1,508,2.15,0
14,gm6688,A87,95,2.32,0
15,gm5950,A172,547,2.39,1
16,gm5174,A72,153,2.31,0
17,gm8055,A48,664,2.66,0
18,gm5050,A62,762,2.72,0
19,gm735,A33,852,2.89,0
20,gm9535,A124,581,2.61,0
21,gm3663,A189,137,2.19,0
22,gm8993,A138,127,2.03,0
23,gm6730,A57,369,2.55,1
24,gm5835,A87,720,2.52,1
25,gm7287,A134,893,2.88,0
26,gm9780,A35,75,2.7,0
27,gm3626,A34,677,2.51,1
28,gm1660,A64,880,2.88,1
29,gm9263,A3,833,2.61,0
30,gm3760,A67,88,2.68,0
31,gm1075,A10,418,2.0,0
32,gm4547,A82,921,2.47,0
33,gm6346,A188,184,2.07,1
34,gm8023,A22,132,2.05,0
35,gm3243,A158,701,2.55,1
36,gm7849,A46,284,2.38,0
37,gm5351,A147,232,2.29,0
38,gm7095,A17,317,2.1,1
39,gm2614,A62,618,2.06,1
40,gm3899,A1,580,2.53,1
41,gm9010,A105,82,2.42,0
42,gm3613,A18,487,2.08,1
43,gm7107,A42,623,2.92,0
44,gm4219,A37,278,2.88,0
45,gm77,A185,27,2.11,1
46,gm1496,A68,558,2.55,1
47,gm2173,A8,795,2.85,1
48,gm2158,A184,928,2.79,1
49,gm9117,A181,780,2.19,0
50,gm3351,A111,472,2.92,1
51,gm8842,A112,572,2.25,1
52,gm4858,A128,971,2.54,1
53,gm5195,A52,374,2.63,0
54,gm9195,A183,279,2.43,0
55,gm3714,A12,637,2.24,0
56,gm5151,A20,613,2.26,1
57,gm6121,A111,429,2.49,0
58,gm1619,A21,603,2.53,0
59,gm2194,A188,186,2.89,1
60,gm7596,A135,643,2.51,0
61,gm5957,A60,593,2.31,0
62,gm3895,A52,654,2.86,0
63,gm6630,A143,584,2.66,1
64,gm1973,A146,906,2.96,1
65,gm2473,A77,249,2.21,1
66,gm1617,A169,265,2.78,1
67,gm7810,A24,986,2.8,0
68,gm6627,A82,336,2.55,1
69,gm7761,A158,703,2.9,0
70,gm3921,A57,561,2.0,1
71,gm7387,A60,758,2.81,1
72,gm5160,A13,549,2.53,1
73,gm848,A137,354,2.48,0
74,gm9668,A178,463,2.7,0
75,gm7745,A174,152,2.62,0
76,gm2064,A178,757,2.03,1
77,gm7104,A98,648,2.32,0
78,gm889,A192,38,2.0,1
79,gm7305,A166,456,2.08,0
80,gm780,A56,909,2.66,1
81,gm5671,A176,236,2.7,0
82,gm4859,A64,536,2.94,1
83,gm302,A75,855,2.12,1
84,gm5398,A158,892,2.93,0
85,gm137,A136,892,2.92,1
86,gm1132,A131,377,2.62,0
87,gm2635,A8,257,2.55,1
88,gm1980,A173,465,2.29,0
89,gm9874,A99,357,2.7,1
90,gm9783,A157,659,2.52,1
91,gm2106,A140,342,2.29,0
92,gm9895,A68,885,2.63,1
93,gm2015,A16,672,2.72,1
94,gm2913,A157,820,2.33,1
95,gm5878,A73,359,2.96,0
96,gm658,A49,109,2.58,0
97,gm8703,A28,512,2.37,0
98,gm2727,A161,166,2.01,1
99,gm2117,A40,579,2.7,1
100,gm5021,A42,569,2.96,0
101,gm5870,A198,610,2.13,0
102,gm7040,A3,552,2.98,0
103,gm991,A159,227,3.0,1
104,gm721,A138,236,2.98,1
105,gm147,A151,994,2.07,0
106,gm159,A19,540,2.2,0
107,gm2292,A52,562,2.63,1
108,gm1614,A21,678,2.35,1
109,gm9175,A144,870,2.33,1
110,gm7809,A169,199,2.98,0
111,gm3899,A21,454,2.6,0
112,gm3167,A97,616,2.43,1
113,gm5539,A4,981,2.74,0
114,gm3828,A85,694,2.98,0
115,gm5608,A46,556,2.06,1
116,gm1800,A41,789,2.16,1
117,gm4402,A22,445,2.46,0
118,gm4610,A103,602,2.55,1
119,gm242,A86,941,2.08,0
120,gm7818,A66,232,2.51,0
121,gm2653,A7,623,2.07,1
122,gm6415,A104,71,2.29,0
123,gm9120,A18,361,2.55,1
124,gm2285,A117,803,2.59,0
125,gm3080,A181,510,2.14,0
126,gm1901,A48,960,2.15,1
127,gm6536,A131,456,2.89,1
128,gm1422,A164,593,2.9,0
129,gm4747,A105,359,2.69,1
130,gm2730,A82,271,2.58,0
131,gm9992,A151,637,2.78,1
132,gm1275,A47,939,2.73,0
133,gm7270,A199,821,2.13,1
134,gm2074,A81,622,2.84,1
135,gm6129,A90,588,2.29,1
136,gm8186,A130,465,2.18,1
137,gm7503,A60,679,2.16,1
138,gm8712,A52,296,2.44,1
139,gm9558,A167,485,2.68,1
140,gm5037,A175,553,2.38,0
141,gm5064,A44,929,2.14,0
142,gm7069,A37,879,2.07,1
143,gm6243,A4,317,2.91,0
144,gm7212,A63,234,2.65,0
145,gm810,A97,183,2.59,0
146,gm5155,A115,789,2.24,1
147,gm2978,A34,239,2.54,1
148,gm5223,A9,336,2.3,0
149,gm2422,A17,833,2.85,0
150,gm7228,A90,614,2.1,0
151,gm8718,A161,866,2.74,1
152,gm7747,A91,96,2.18,1
153,gm3412,A16,700,2.01,0
154,gm3181,A175,941,2.98,0
155,gm4493,A188,257,2.07,0
156,gm2146,A33,946,2.32,0
157,gm7764,A131,865,2.64,0
158,gm9293,A117,588,2.11,0
159,gm1708,A177,714,2.75,0
160,gm8583,A108,809,2.53,0
161,gm34,A47,998,2.98,0
162,gm3494,A160,803,2.14,1
163,gm5782,A113,686,2.12,0
164,gm2823,A120,847,2.94,0
165,gm387,A39,541,2.4,0
166,gm6024,A21,497,2.49,0
167,gm8097,A188,936,2.36,1
168,gm898,A48,488,2.29,1
169,gm4002,A103,473,2.9,0
170,gm6137,A50,648,2.9,0
171,gm2098,A74,546,2.99,0
172,gm2358,A172,755,2.32,1
173,gm8806,A50,134,2.03,1
174,gm9711,A38,349,2.12,0
175,gm6321,A127,538,2.31,1
176,gm6914,A28,837,2.92,1
177,gm4066,A182,61,2.44,0
178,gm2485,A90,957,2.64,0
179,gm4862,A13,448,2.47,0
180,gm4576,A6,21,2.24,1
181,gm6369,A163,764,2.69,0
182,gm5114,A107,637,2.97,1
183,gm2682,A166,467,2.17,0
184,gm6327,A141,849,2.02,1
185,gm8509,A15,869,2.59,0
186,gm8398,A189,404,2.76,1
187,gm4531,A91,934,2.03,0
188,gm5705,A100,952,2.49,0
189,gm6537,A69,224,2.69,0
190,gm230,A129,650,2.67,0
191,gm2517,A190,495,2.57,0
192,gm2890,A4,227,2.35,0
193,gm4872,A164,156,2.99,0
194,gm1115,A148,782,2.56,0
195,gm1237,A56,214,2.25,1
196,gm2220,A158,564,2.41,1
197,gm6221,A169,391,2.65,1
198,gm9001,A158,567,2.46,0
199,gm3957,A133,25,2.88,1
200,gm1153,A163,963,2.6,1
201,gm1152,A52,554,2.74,1
202,gm2956,A106,564,2.18,1
203,gm6088,A45,317,2.67,1
204,gm1419,A107,280,2.63,1
205,gm4192,A30,599,2.71,0
206,gm3996,A85,218,2.0,0
207,gm4261,A139,858,2.03,0
208,gm8497,A148,319,2.21,0
209,gm6543,A29,723,2.24,1
210,gm2270,A13,433,2.91,0
211,gm8537,A65,517,2.77,0
212,gm7165,A56,965,2.84,0
213,gm7909,A125,196,2.87,1
214,gm7000,A21,845,2.32,0
215,gm1691,A171,635,2.73,0
216,gm7605,A195,241,2.95,1
217,gm7256,A21,510,2.36,1
218,gm3179,A181,838,2.43,0
219,gm327,A6,925,2.04,1
220,gm3565,A166,412,2.31,1
221,gm1881,A94,430,2.92,1
222,gm9758,A14,545,2.7,1
223,gm7415,A165,504,2.97,1
224,gm5391,A125,24,2.24,1
225,gm1617,A32,655,2.34,0
226,gm5289,A198,233,2.44,0
227,gm8558,A88,337,2.94,1
228,gm8697,A83,433,2.17,0
229,gm3761,A79,371,2.38,0
230,gm6730,A63,591,2.42,1
231,gm472,A50,263,2.79,0
232,gm9120,A123,966,2.75,0
233,gm3470,A132,680,2.7,1
234,gm9004,A134,287,2.65,1
235,gm1221,A33,948,2.88,1
236,gm9989,A92,715,2.32,0
237,gm9975,A113,76,2.68,0
238,gm7826,A72,531,2.11,0
239,gm7200,A144,80,2.35,1
240,gm5239,A17,761,2.36,1
241,gm3224,A129,631,2.87,0
242,gm7217,A12,115,2.81,1
243,gm8874,A90,910,2.27,1
244,gm3195,A93,980,2.83,0
245,gm4957,A22,478,2.21,0
246,gm4960,A127,117,2.31,1
247,gm3217,A0,867,2.31,0
248,gm4366,A156,877,2.52,0
249,gm7570,A135,949,2.71,0
250,gm6632,A113,39,2.13,0
251,gm1015,A42,841,2.46,0
252,gm5399,A144,263,2.0,0
253,gm699,A102,181,2.33,0
254,gm3131,A107,820,2.09,0
255,gm3207,A194,56,2.54,1
256,gm256,A18,224,2.67,1
257,gm3966,A35,694,2.78,0
258,gm3209,A83,833,2.36,1
259,gm9318,A112,449,2.17,0
260,gm5797,A45,107,2.16,1
261,gm290,A14,245,2.12,1
262,gm373,A48,622,2.14,1
263,gm3328,A8,452,2.88,1
264,gm3238,A154,529,2.73,1
265,gm623,A186,964,2.2,0
266,gm5397,A130,590,2.24,0
267,gm6199,A79,952,2.36,0
268,gm5788,A28,61,2.86,1
269,gm1609,A149,935,2.14,1
270,gm5388,A178,746,2.39,0
271,gm453,A27,681,2.01,0
272,gm8325,A139,492,2.87,1
273,gm9866,A103,956,2.59,1
274,gm8611,A132,721,2.02,1
275,gm2876,A37,875,2.41,0
276,gm9103,A42,530,2.25,1
277,gm7533,A21,891,2.44,0
278,gm7187,A182,833,2.46,0
279,gm9567,A176,838,2.76,1
280,gm1306,A35,104,2.77,0
281,gm3879,A4,612,2.02,0
282,gm6300,A168,743,2.37,0
283,gm7675,A63,966,2.25,1
284,gm5430,A168,687,2.45,1
285,gm5822,A113,807,2.77,1
286,gm4894,A185,651,2.12,0
287,gm1102,A7,894,2.9,1
288,gm422,A3,341,2.48,0
289,gm892,A47,235,2.25,0
290,gm5243,A0,870,2.44,0
291,gm7992,A55,282,2.59,0
292,gm1718,A6,258,2.91,1
293,gm5607,A117,165,2.76,0
294,gm7525,A27,589,2.67,0
295,gm5715,A78,150,2.08,1
296,gm128,A90,413,2.94,0
297,gm187,A54,257,2.32,1
298,gm1640,A121,851,2.53,1
299,gm7840,A15,794,2.33,1
300,gm6790,A111,806,2.11,1
301,gm3853,A133,709,2.29,1
302,gm7650,A105,271,2.62,1
303,gm3187,A40,934,2.85,0
304,gm4919,A37,730,2.87,1
305,gm1798,A34,691,2.45,0
306,gm8552,A37,213,2.38,1
307,gm9282,A58,282,2.01,0
308,gm5630,A139,451,2.43,1
309,gm783,A183,257,2.53,1
310,gm7000,A164,126,2.62,1
311,gm7442,A72,189,2.22,0
312,gm4225,A115,140,2.25,0
313,gm8809,A113,111,2.61,1
314,gm4082,A113,542,2.24,1
315,gm2160,A147,559,2.04,1
316,gm261,A193,976,2.38,1
317,gm6876,A57,521,2.81,1
318,gm8462,A30,750,2.01,0
319,gm9719,A8,239,2.86,0
320,gm7397,A91,204,2.31,0
321,gm9152,A196,739,2.68,0
322,gm6433,A179,761,2.93,1
323,gm3352,A104,917,2.52,0
324,gm7365,A146,33,2.05,1
325,gm4406,A162,271,2.17,1
326,gm2478,A133,357,2.76,0
327,gm2517,A82,583,2.43,1
328,gm9648,A85,35,2.08,1
329,gm2767,A71,743,2.71,0
330,gm5608,A188,582,2.18,0
331,gm9927,A115,84,2.07,1
332,gm1902,A130,432,2.4,0
333,gm7334,A90,788,2.82,1
334,gm7340,A31,823,2.5,1
335,gm2546,A151,231,2.39,0
336,gm5681,A142,787,2.97,1
337,gm3745,A3,231,2.31,0
338,gm1846,A138,437,2.76,0
339,gm2817,A117,843,2.48,0
340,gm2832,A138,174,2.48,0
341,gm4949,A16,229,2.55,1
342,gm7108,A162,828,2.41,0
343,gm5563,A164,70,2.02,0
344,gm3369,A126,957,2.97,1
345,gm4396,A184,251,2.24,1
346,gm757,A34,663,2.16,1
347,gm3510,A26,993,2.05,0
348,gm9070,A180,25,2.87,0
349,gm5412,A36,726,2.73,0
350,gm700,A92,70,2.54,1
351,gm7371,A19,621,2.88,0
352,gm1291,A107,794,2.53,1
353,gm792,A28,553,2.98,1
354,gm549,A156,750,2.72,0
355,gm5305,A181,337,2.57,0
356,gm4361,A6,733,2.03,1
357,gm2125,A75,594,2.44,0
358,gm4765,A138,139,2.9,1
359,gm3903,A189,210,3.0,1
360,gm4439,A69,331,2.49,0
361,gm7549,A61,536,2.55,1
362,gm2423,A39,105,2.94,0
363,gm3169,A168,121,2.54,0
364,gm7062,A70,873,2.32,1
365,gm1350,A59,104,2.78,1
366,gm1002,A45,217,2.65,0
367,gm5980,A102,983,2.05,1
368,gm2689,A188,308,2.38,1
369,gm79,A154,837,2.07,1
370,gm9169,A105,360,2.72,1
371,gm9478,A192,525,2.98,1
372,gm9861,A89,864,2.03,1
373,gm2546,A159,20,2.06,1
374,gm4649,A55,103,2.77,1
375,gm2113,A84,99,2.65,0
376,gm3493,A117,613,2.31,0
377,gm5664,A146,815,2.06,0
378,gm1071,A105,166,2.11,0
379,gm7859,A66,401,2.38,1
380,gm8812,A105,66,2.23,1
381,gm886,A55,480,2.29,0
382,gm959,A5,201,2.15,1
383,gm933,A34,105,2.05,1
384,gm5886,A14,450,2.17,0
385,gm3877,A117,707,2.63,0
386,gm4205,A58,373,2.41,0
387,gm3855,A190,96,2.16,1
388,gm4062,A108,397,2.23,0
389,gm1524,A120,540,2.89,0
390,gm8055,A45,895,2.68,0
391,gm7505,A106,324,2.35,1
392,gm9391,A47,117,2.97,1
393,gm488,A199,379,2.82,0
394,gm7117,A119,873,2.08,1
395,gm5801,A158,711,2.98,0
396,gm2358,A192,124,2.6,0
397,gm7627,A67,333,2.38,0
398,gm7965,A188,579,2.11,1
399,gm6255,A70,974,2.6,1
400,gm3472,A144,427,2.77,1
401,gm685,A184,879,2.68,0
402,gm9276,A40,53,2.67,1
403,gm8076,A31,300,2.78,1
404,gm1403,A146,224,2.73,0
405,gm2432,A39,533,2.41,0
406,gm3670,A197,425,2.58,1
407,gm1580,A27,416,2.38,1
408,gm4137,A182,752,2.08,1
409,gm2734,A90,965,2.34,0
410,gm5566,A51,507,2.45,0
411,gm5192,A47,441,2.62,0
412,gm4746,A56,357,2.34,1
413,gm4535,A11,997,2.01,1
414,gm1057,A82,887,2.14,0
415,gm462,A116,130,2.36,1
416,gm9199,A25,671,2.35,0
417,gm8125,A148,451,2.56,1
418,gm3231,A103,470,2.2,1
419,gm8322,A76,944,2.84,0
420,gm7301,A191,171,2.02,0
421,gm4358,A162,825,2.16,1
422,gm6246,A34,824,2.69,1
423,gm1978,A125,841,2.1,0
424,gm5950,A15,511,2.25,0
425,gm1469,A6,503,2.62,0
426,gm6175,A99,942,2.02,1
427,gm8704,A72,729,2.23,0
428,gm7949,A188,24,2.15,1
429,gm2679,A140,710,2.3,1
430,gm1396,A102,786,2.91,1
431,gm7253,A18,607,2.93,1
432,gm7694,A31,155,2.44,1
433,gm3484,A89,277,2.02,1
